common,omit
American Black Duck,1
Green-winged Teal,1
Alder Flycatcher,0
American Bittern,1
American Crow,0
American Goldfinch,0
American Kestrel,1
American Redstart,0
American Robin,0
American Woodcock,1
American White Pelican,1
Bald Eagle,1
Bank Swallow,1
Baltimore Oriole,0
Barn Swallow,1
Black-and-white Warbler,0
Black-billed Cuckoo,0
Bay-breasted Warbler,0
Black-backed Woodpecker,0
Black-capped Chickadee,0
Barred Owl,1
Belted Kingfisher,1
Brown-headed Cowbird,0
Blue-headed Vireo,0
Blackburnian Warbler,0
Blue Jay,0
Blackpoll Warbler,1
Bobolink,1
Boreal Chickadee,0
Brewer's Blackbird,1
Brown Creeper,0
Brown Thrasher,0
Black-throated Blue Warbler,0
Black-throated Green Warbler,0
Broad-winged Hawk,0
Blue-winged Teal,1
Blue-winged Warbler,0
Gray Jay,0
Canada Goose,1
Canada Warbler,0
Clay-colored Sparrow,0
Cedar Waxwing,0
Chipping Sparrow,0
Chimney Swift,1
Cliff Swallow,1
Cape May Warbler,0
Common Goldeneye,1
Common Grackle,0
Cooper's Hawk,1
Common Loon,1
Common Merganser,1
Common Nighthawk,1
Connecticut Warbler,0
Common Raven,0
Common Yellowthroat,0
Chestnut-sided Warbler,0
Dark-eyed Junco (Slate-colored),0
Downy Woodpecker,0
Eastern Bluebird,0
Eastern Kingbird,0
Eastern Phoebe,0
Eastern Towhee,0
Eastern Wood-Pewee,0
Evening Grosbeak,0
Great Blue Heron,1
Great Crested Flycatcher,0
Golden-crowned Kinglet,0
Great Gray Owl,1
Great Horned Owl,1
Gray Catbird,0
Green Heron,1
Golden-winged Warbler,0
Hairy Woodpecker,0
Hermit Thrush,0
Hooded Merganser,1
House Wren,0
Indigo Bunting,0
Killdeer,1
Least Flycatcher,0
Lesser Scaup,1
Lincoln's Sparrow,0
Mallard,1
Magnolia Warbler,0
Marsh Wren,1
Merlin,1
Mourning Dove,0
Mourning Warbler,0
Nashville Warbler,0
Northern Hawk Owl,1
Northern Flicker (Yellow-shafted),0
Northern Goshawk,1
Northern Harrier,1
Northern Parula,0
Northern Pintail,1
Northern Waterthrush,0
Northern Saw-whet Owl,1
Orange-crowned Warbler,1
Olive-sided Flycatcher,0
Osprey,1
Ovenbird,0
Palm Warbler (Western),0
Pied-billed Grebe,1
Philadelphia Vireo,1
Pine Siskin,0
Pine Warbler,0
Pileated Woodpecker,0
Purple Finch,0
Purple Martin,1
Rose-breasted Grosbeak,0
Ring-billed Gull,1
Red-breasted Nuthatch,0
Red-bellied Woodpecker,0
Ruby-crowned Kinglet,0
Red Crossbill,0
Red-eyed Vireo,0
Red-headed Woodpecker,1
Ring-necked Duck,1
Red-shouldered Hawk,1
Red-tailed Hawk,1
Ruby-throated Hummingbird,0
Ruffed Grouse,0
Red-winged Blackbird,0
Sandhill Crane,1
Savannah Sparrow,1
Scarlet Tanager,0
Sedge Wren,0
Sora,1
Solitary Sandpiper,1
Song Sparrow,0
Spruce Grouse,0
Sharp-shinned Hawk,1
Sharp-tailed Grouse,1
Swamp Sparrow,0
Swainson's Thrush,0
Tennessee Warbler,0
Tree Swallow,0
Trumpeter Swan,1
American Three-toed Woodpecker,1
Turkey Vulture,1
Unidentified blackbird,1
Unidentified duck,1
Unidentified finch,1
Unidentified flycatcher,1
Unidentified gull,1
Unidentified large bird,1
Unidentified medium bird,1
Unidentified non-passerine,1
Unidentified owl,1
Unidentified passerine,1
Unidentified raptor,1
Unidentified small bird,1
Unidentified shorebird,1
Unidentified sparrow,1
Unidentified swallow,1
Unidentified thrush,1
Unidentified vireo,1
Unidentified warbler,1
Unidentified woodpecker,1
Veery,0
Vesper Sparrow,1
Virginia Rail,1
Warbling Vireo,0
White-breasted Nuthatch,0
Willow Flycatcher,1
Wilson's Snipe,1
Wild Turkey,1
Wilson's Warbler,0
Winter Wren,0
Wood Duck,1
Wood Thrush,0
Whip-poor-will,1
White-throated Sparrow,0
White-winged Crossbill,0
Yellow-billed Cuckoo,0
Yellow-bellied Flycatcher,0
Yellow-bellied Sapsucker,0
Yellow Warbler,0
Yellow-rumped Warbler (Myrtle),0
Yellow-throated Vireo,0
